date,daily_log_return,equity,drawdown,model,step,score_train,realized_return_test,n_assets
2026-03-20,0.0003503111011649531,1.0003503724672642,0.0,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-23,-0.0107434876673698,0.9896606458699535,-0.010685982523248927,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-24,0.0004896317009997232,0.9901453337449945,-0.010201464410014682,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-25,-0.0008804586116588444,0.9892739354304728,-0.01107255751749503,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-26,-0.0073963869135563135,0.9819838759253575,-0.018360063681095662,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-27,-0.017662255340399884,0.9647920956945752,-0.03554582249516036,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-30,0.011153198677883665,0.975612844431654,-0.02472886372261507,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-03-31,0.00272321318802343,0.9782732670008117,-0.022069372965795475,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-01,0.0012882509789130174,0.9795343406099202,-0.0208087410474026,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-02,-0.004392739604215974,0.9752409381216536,-0.025100639772523636,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-03,-0.0032697256393362573,0.9720573753464788,-0.02828308750563413,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-06,0.008219768601117044,0.9800803905303862,-0.02026288238078433,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-07,-0.001119876768149486,0.9789834356119199,-0.02135945309106535,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-08,0.0015779286587283455,0.9805294210379734,-0.01981400914601994,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-09,-0.006214030130112076,0.974455273685182,-0.02588602903022319,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-10,-0.004152693041947023,0.9704170506041204,-0.029922837724662643,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-13,-0.001827476676355578,0.9686452555279932,-0.03169401223000845,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-14,0.0005721342867092948,0.9691996092576051,-0.031139852662651513,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-15,0.01618819989900486,0.9850168874866123,-0.015328114431380047,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-16,0.0042551149841317335,0.989217177625396,-0.011129295443164877,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
2026-04-17,-0.00274545494755227,0.986505051144972,-0.013840472001968807,qwen/qwen3.5-35b-a3b,99.0,-0.00849531131453062,-0.013494948855028,5.0
