model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
google/gemini-3.1-pro-preview,99,22,0.2458692981408065,3.0,3.0,0.20381129819722213,0.2153136456798693,3.0,22
google/gemini-3.1-pro-preview,99,23,0.2458692981408065,3.0,3.0,0.2199957192910049,0.2282362679880434,3.0,23
google/gemini-3.1-pro-preview,99,24,0.2458692981408065,3.0,3.0,0.2282761813768901,0.2326500595151781,3.0,24
google/gemini-3.1-pro-preview,99,25,0.2458692981408065,3.0,3.0,0.21300926791011174,0.2281403438911139,3.0,25
google/gemini-3.1-pro-preview,99,26,0.2458692981408065,3.0,3.0,0.22439630007499822,0.2367681683064603,3.0,26
google/gemini-3.1-pro-preview,99,27,0.2458692981408065,3.0,2.0,0.2001880986355591,0.2028805143256112,2.0,27
google/gemini-3.1-pro-preview,99,28,0.2458692981408065,3.0,3.0,0.2255339795506519,0.2368253847187549,3.0,28
google/gemini-3.1-pro-preview,99,29,0.2458692981408065,3.0,3.0,0.22411160393159016,0.2348609988748951,3.0,29
google/gemini-3.1-pro-preview,99,30,0.2458692981408065,3.0,2.0,0.20667391689957898,0.2159848702025487,2.0,30
google/gemini-3.1-pro-preview,99,31,0.2458692981408065,3.0,2.0,0.2023108596528126,0.2059099828918066,2.0,31
google/gemini-3.1-pro-preview,99,32,0.2458692981408065,3.0,3.0,0.2119249344950279,0.2262409069931648,3.0,32
google/gemini-3.1-pro-preview,99,33,0.2458692981408065,3.0,3.0,0.22618124147046492,0.2346299131566848,3.0,33
google/gemini-3.1-pro-preview,99,34,0.2458692981408065,3.0,3.0,0.21851404089353177,0.2312026912160196,3.0,34
google/gemini-3.1-pro-preview,99,35,0.2458692981408065,3.0,3.0,0.22776597008097532,0.2331038906399645,3.0,35
google/gemini-3.1-pro-preview,99,36,0.2538244596593141,3.0,3.0,0.24327490172696567,0.2538244596593141,3.0,36
google/gemini-3.1-pro-preview,99,37,0.2538244596593141,3.0,3.0,0.22059002009323617,0.2356692652772344,3.0,37
google/gemini-3.1-pro-preview,99,38,0.2538244596593141,3.0,3.0,0.23480173185125142,0.2422627819606032,3.0,38
google/gemini-3.1-pro-preview,99,39,0.2554665418833425,3.0,3.0,0.22985733969789693,0.2554665418833425,3.0,39
google/gemini-3.1-pro-preview,99,40,0.2554665418833425,3.0,3.0,0.2320805892756788,0.2395586026694393,3.0,40
google/gemini-3.1-pro-preview,99,41,0.2554665418833425,3.0,3.0,0.24260380052668915,0.2534689505324304,3.0,41
google/gemini-3.1-pro-preview,99,42,0.2554665418833425,3.0,3.0,0.23321418407605013,0.2414342790478967,3.0,42
google/gemini-3.1-pro-preview,99,43,0.2554665418833425,3.0,3.0,0.22589933117555763,0.2361919955132979,3.0,43
google/gemini-3.1-pro-preview,99,44,0.2554665418833425,3.0,2.0,0.2259365636702208,0.2285263103817262,2.0,44
google/gemini-3.1-pro-preview,99,45,0.2554665418833425,3.0,3.0,0.21000242187054405,0.2276223991592717,3.0,45
google/gemini-3.1-pro-preview,99,46,0.2554665418833425,0.0,0.0,,,,46
google/gemini-3.1-pro-preview,99,47,0.2554665418833425,0.0,0.0,,,,47
google/gemini-3.1-pro-preview,99,48,0.2554665418833425,0.0,0.0,,,,48
google/gemini-3.1-pro-preview,99,49,0.2554665418833425,0.0,0.0,,,,49
