date,daily_log_return,equity,drawdown,model,step,score_train,realized_return_test,n_assets
2026-03-20,0.002624043991576749,1.002627489808344,0.0,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-23,-0.0034780239657365057,0.9991463845629619,-0.003471982646364058,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-24,-0.0013248532167819285,0.9978235387430997,-0.004791361810918104,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-25,-0.0034623766283986826,0.9943746719266515,-0.008231190512510311,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-26,-0.004261471938779463,0.9901461883468162,-0.012448592910527134,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-27,-0.012369425317808233,0.9779740851735698,-0.024588797819105168,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-30,-0.006573349471329256,0.9715666021221716,-0.03097948939352324,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-03-31,-0.0010013454178179199,0.9705942152858336,-0.03194932798883632,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-01,0.010911395567564352,0.9812427421994491,-0.021328706649548113,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-02,-0.0032304857632559246,0.9780779661248119,-0.024485189098719884,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-03,-0.0024304456541932515,0.9757036872292453,-0.0268532459490467,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-06,0.007817626720684564,0.9833612674985014,-0.01921573316678704,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-07,0.014816353460021671,0.9980395665306495,-0.004575900146695067,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-08,0.0015377703525044312,0.9995755028426748,-0.0030439889158162536,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-09,-0.007794079342864173,0.9918150142820547,-0.010784140307539603,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-10,-0.009654030286026885,0.9822860724507947,-0.020288110553838612,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-13,-0.005644109599288988,0.9767575586452881,-0.025802136312860324,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-14,0.013831770759413147,0.9903617131648611,-0.012233632897725166,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-15,0.007650760122674674,0.9979677921084705,-0.0046474864765220225,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-16,-0.00017142242010657687,0.9977967327164853,-0.004818097589546655,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
2026-04-17,0.0068851803313608705,1.0046904481588341,0.0,google/gemini-3.1-pro-preview,99.0,0.25546654188334256,0.004690448158834126,5.0
