model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
openai/gpt-oss-20b,99,29,0.0526979305360066,3.0,3.0,0.0173919302172984,0.0209111333895206,3.0,29
openai/gpt-oss-20b,99,30,0.0526979305360066,3.0,2.0,0.018143000381148102,0.0508081732063027,2.0,30
openai/gpt-oss-20b,99,31,0.0526979305360066,3.0,3.0,0.0340644640389344,0.0451606892190058,3.0,31
openai/gpt-oss-20b,99,32,0.0526979305360066,3.0,2.0,0.039294778712402,0.0435228573405231,2.0,32
openai/gpt-oss-20b,99,33,0.0526979305360066,3.0,2.0,0.03743721340853115,0.0444417732797644,2.0,33
openai/gpt-oss-20b,99,34,0.0526979305360066,3.0,2.0,-0.020637264567168703,0.0281803939842617,2.0,34
openai/gpt-oss-20b,99,35,0.0526979305360066,3.0,2.0,0.0453266892190058,0.0497270340092063,2.0,35
openai/gpt-oss-20b,99,36,0.0526979305360066,3.0,3.0,0.009728315213139433,0.0525979305360066,3.0,36
openai/gpt-oss-20b,99,37,0.0526979305360066,3.0,2.0,0.0178724705881982,0.0337477841450395,2.0,37
openai/gpt-oss-20b,99,38,0.0526979305360066,3.0,3.0,0.041163502922737065,0.0502814448426841,3.0,38
openai/gpt-oss-20b,99,39,0.0526979305360066,3.0,3.0,0.032901727823147035,0.0522979305360066,3.0,39
openai/gpt-oss-20b,99,40,0.0526979305360066,3.0,2.0,0.02529866998726235,0.0453606892190058,2.0,40
openai/gpt-oss-20b,99,41,0.0526979305360066,3.0,1.0,0.0167001432537222,0.0167001432537222,1.0,41
openai/gpt-oss-20b,99,42,0.0526979305360066,3.0,3.0,0.0228419884998855,0.0272508049524402,3.0,42
openai/gpt-oss-20b,99,43,0.0526979305360066,3.0,3.0,0.014845754577410034,0.0406484734560391,3.0,43
openai/gpt-oss-20b,99,44,0.0598351718530074,3.0,3.0,0.039585128863779996,0.0598351718530074,3.0,44
openai/gpt-oss-20b,99,45,0.0598351718530074,3.0,2.0,0.02549866998726235,0.0284483747065214,2.0,45
openai/gpt-oss-20b,99,46,0.0598351718530074,3.0,2.0,0.02486778621810615,0.0369258781479238,2.0,46
openai/gpt-oss-20b,99,47,0.0598351718530074,3.0,3.0,0.02905833453278873,0.0507600986575239,3.0,47
openai/gpt-oss-20b,99,48,0.0598351718530074,3.0,2.0,0.0183533356147939,0.040749449902679,2.0,48
openai/gpt-oss-20b,99,49,0.0598351718530074,3.0,3.0,0.03396605211741947,0.044792708496746,3.0,49
