date,daily_log_return,equity,drawdown,model,step,score_train,realized_return_test,n_assets
2026-03-20,0.0005752551411464526,1.000575420632117,0.0,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-23,-0.008002413031688405,0.9926003552895751,-0.007970478964497762,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-24,-0.001358904388209683,0.9912524223744371,-0.009317636697281584,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-25,-0.00020192670891155013,0.9910522822425856,-0.00951766173060209,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-26,-0.0003402223046547793,0.9907151615023371,-0.009854588596180602,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-27,-0.0072437451764063125,0.983564603008699,-0.017001034877182297,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-30,0.0007972131983803746,0.9843490263264433,-0.016217062673219096,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-03-31,0.0006401195384666268,0.9849793290838982,-0.01558712239639648,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-01,-0.0007254354590540029,0.984265049265424,-0.016300991439894386,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-02,-0.0038628213413427048,0.980470343082121,-0.020093515326705114,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-03,-0.0041863998681353235,0.9763742820241442,-0.024187220782101115,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-06,0.003019405944550246,0.9793268075287892,-0.021236393244503105,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-07,-0.004835906594703646,0.9746023073898369,-0.025958176372023467,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-08,0.003177656603440363,0.9777041845878226,-0.02285808303170722,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-09,-0.0040402531330924136,0.9737619813049792,-0.026798019193993716,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-10,-0.00485218294430081,0.9690485544797217,-0.03150873537596799,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-13,-0.009398241430115153,0.9599838649985938,-0.04056821184741799,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-14,0.0005358243388495391,0.9604983855523704,-0.040053987189119344,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-15,0.008109404870621832,0.9683191237453971,-0.032237746622180485,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-16,0.0013365505859213042,0.9696141965099393,-0.030943418640663523,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
2026-04-17,-0.0004967564008835498,0.9691326540659835,-0.03142468415451316,openai/gpt-oss-120b,99.0,0.09007709119252769,-0.03086734593401652,6.0
