date,daily_log_return,equity,drawdown,model,step,score_train,realized_return_test,n_assets
2026-03-20,-0.00046967658578858835,0.999530433694993,0.0,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-23,-0.005867734366610089,0.9936826280821787,-0.005850552835291345,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-24,-0.005768643210527428,0.9879669292999766,-0.011568936777911931,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-25,-0.0007198899454920013,0.9872559577824231,-0.012280242300571453,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-26,-0.00564842947772218,0.9816952315977372,-0.017843580841579665,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-27,-0.017712397865024557,0.9644601430396607,-0.035086766218500154,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-30,-0.0006095393030117144,0.9638724458067666,-0.03567473954385603,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-03-31,6.70533516514804e-05,0.9639370788517293,-0.03561007613513545,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-01,0.005211863688247302,0.9689741022484845,-0.030570686410767878,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-02,-0.007700114935186814,0.9615415427970684,-0.038006737581255945,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-03,-0.0031420560756264984,0.9585250668006051,-0.041024630678629825,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-06,0.011195104298259219,0.9693161458195715,-0.030228482152091618,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-07,0.006840559611614989,0.9759695412270207,-0.023571961066632063,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-08,0.0034580359475652467,0.9793503210444323,-0.02018959300314671,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-09,-0.009451509087264736,0.9701375882809835,-0.029406653787771186,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-10,-0.0100495270102476,0.960436989240839,-0.039111810042277706,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-13,-0.004264992434329437,0.9563494555941883,-0.04320126395869339,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-14,0.006028128370179856,0.9621318639188512,-0.03741613913434272,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-15,0.014582466391936496,0.9762649164240365,-0.0232764471062179,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-16,0.001120555516482612,0.9773594886116025,-0.022181360702975828,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
2026-04-17,0.004273236156829583,0.9815449128005366,-0.017993970256582115,mistralai/mistral-small-2603,99.0,0.12406777080196983,-0.018455087199463427,7.0
