steps,train_window,test_window,step,cumulative_return,annualized_return,annualized_volatility,sharpe_like,max_drawdown,win_rate,avg_n_assets,optimizer,model,initial_random_samples,iterations,candidates_per_iter,llm_attempts_per_iteration,optimizer_verbose,start_step,max_steps,model_dir
1,504,21,21,0.004337409834385797,0.05330871267097237,0.042325356395397674,1.2594982585136363,-0.008874938767992169,1.0,3.0,llm,openai/gpt-oss-20b,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\openai_gpt-oss-20b
1,504,21,21,-0.03086734593401652,-0.313566099179993,0.06592493364522602,-4.756411297544021,-0.04056821184741799,0.0,6.0,llm,openai/gpt-oss-120b,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\openai_gpt-oss-120b
1,504,21,21,-0.03531938734243323,-0.3504649275568552,0.08905988170589174,-3.935160488021064,-0.04048172737213063,0.0,5.0,llm,deepseek/deepseek-v4-pro,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\deepseek_deepseek-v4-pro
1,504,21,21,0.004690448158834126,0.05776034144267905,0.12029872957815853,0.48014090959416117,-0.03194932798883632,1.0,5.0,llm,google/gemini-3.1-pro-preview,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\google_gemini-3.1-pro-preview
1,504,21,21,-0.013494948855028,-0.15044449295893436,0.11537305585220131,-1.303982908727505,-0.03554582249516036,0.0,5.0,llm,qwen/qwen3.5-35b-a3b,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\qwen_qwen3.5-35b-a3b
1,504,21,21,-0.018455087199463427,-0.20030916604848037,0.12065459537724607,-1.6601867953904401,-0.04320126395869339,0.0,7.0,llm,mistralai/mistral-small-2603,10,50,3,1,True,99,1,c:\Users\Jet\Desktop\ya\notebook_code\experiments_walk_forward_llm\mistralai_mistral-small-2603
