model,asset,evaluated_count,llm_count,seed_count,avg_weight_when_present,max_weight_when_present,avg_candidate_score,best_candidate_score,avg_candidate_sigma_q09
deepseek/deepseek-v4-pro,SBER,141,139,2,0.2846920536917971,0.65,0.04488935409327022,0.096705056490796,0.296421207221734
deepseek/deepseek-v4-pro,MOEX,141,138,3,0.1004860921280951,0.24,0.04371977794832773,0.096705056490796,0.2982921325269745
deepseek/deepseek-v4-pro,LKOH,124,124,0,0.1846774193548387,0.30000000000000004,0.05014016243286125,0.096705056490796,0.31359198008817596
deepseek/deepseek-v4-pro,NVTK,123,122,1,0.1674161950596167,0.3221919923328522,0.04255995847622039,0.096705056490796,0.3159379728643765
deepseek/deepseek-v4-pro,PHOR,68,67,1,0.05838131164919484,0.2749291921452489,0.05770879846998355,0.0878003408934557,0.3216423363945309
deepseek/deepseek-v4-pro,TATN,66,65,1,0.06906309647251468,0.40316436718596943,0.044682734752387473,0.096705056490796,0.3269393732735695
deepseek/deepseek-v4-pro,ROSN,64,64,0,0.07078125,0.15,0.05518361043386621,0.0851899136638785,0.3157823816583669
deepseek/deepseek-v4-pro,FLOT,50,48,2,0.14625976813605168,0.3535644491984552,0.030926821401235715,0.0667629307398239,0.23276009711932313
deepseek/deepseek-v4-pro,LQDT,46,45,1,0.11413279744431111,0.3,0.03540739293284321,0.0667629307398239,0.22734923854247266
deepseek/deepseek-v4-pro,SBGB,39,38,1,0.10358680707925685,0.25,0.03242404229735101,0.0667629307398239,0.21366509907049083
deepseek/deepseek-v4-pro,FXIT,37,35,2,0.12844091959478418,0.35638530361661197,0.021870353940133133,0.0581778810522717,0.2150567956067717
deepseek/deepseek-v4-pro,MGNT,22,21,1,0.07669368140459719,0.10000000000000002,0.010183797290106182,0.047627083020715,0.2993117123057187
deepseek/deepseek-v4-pro,USD000UTSTOM,22,20,2,0.12364114722906011,0.18231079372410838,0.004830991307819637,0.0388470749208845,0.18089202465224463
deepseek/deepseek-v4-pro,GAZP,15,15,0,0.10333333333333333,0.2,0.03512456311270968,0.0663560746086228,0.33606227379539766
deepseek/deepseek-v4-pro,IRAO,16,14,2,0.12733115500688408,0.38237347919088893,-0.001940581239737125,0.0279084149514966,0.21062790353831115
deepseek/deepseek-v4-pro,SU26238RMFS4,10,10,0,0.10700000000000001,0.2,0.028224960549491078,0.0620889313418652,0.18419994951264257
deepseek/deepseek-v4-pro,EUR_RUB__TOM,6,4,2,0.11891794862346049,0.27069729892782907,-0.2326975452464015,0.0199655826633021,0.1969818235857194
deepseek/deepseek-v4-pro,CHMF,3,3,0,0.06666666666666667,0.1,0.030020657659039867,0.0483059625148536,0.3411410771889764
deepseek/deepseek-v4-pro,GMKN,3,3,0,0.06666666666666667,0.1,0.0027373380569392647,0.0483059625148536,0.34558621603391887
deepseek/deepseek-v4-pro,BSPB,4,2,2,0.07440979367679545,0.17750276662057662,-0.0824947899683965,-0.0393907620424053,0.2610786878290399
deepseek/deepseek-v4-pro,BELU,4,2,2,0.04934456777531546,0.09260950615931166,-0.06952859034068015,-0.0393907620424053,0.21154767092522103
deepseek/deepseek-v4-pro,MTSS,2,2,0,0.07500000000000001,0.10000000000000002,0.01725876803124715,0.0182679137685153,0.3347960890309085
deepseek/deepseek-v4-pro,SNGS,2,2,0,0.05,0.05,0.0580620807429308,0.0620889313418652,0.3252101474558001
deepseek/deepseek-v4-pro,MAGN,4,1,3,0.09864712120178307,0.21564527559913826,-0.6674335127191482,-0.0919667433039691,0.34889682957774487
deepseek/deepseek-v4-pro,SU26243RMFS4,2,1,1,0.08609351982021902,0.15,-0.049267222854445895,0.0388470749208845,0.27411469314673664
deepseek/deepseek-v4-pro,RTKM,2,1,1,0.07376895503286567,0.1,-0.059556803430630495,0.0182679137685153,0.3264809944814858
deepseek/deepseek-v4-pro,SU26233RMFS5,1,1,0,0.15,0.15,0.055139291406847,0.055139291406847,0.3056028508312798
deepseek/deepseek-v4-pro,ALRS,1,1,0,0.05,0.05,0.0366910007718431,0.0366910007718431,0.3249171431210572
deepseek/deepseek-v4-pro,HEAD,3,0,3,0.07965654579922728,0.19537990686806866,-0.38692771119037256,-0.0542881773813929,0.3246483014338744
deepseek/deepseek-v4-pro,UNAC,2,0,2,0.4295809602084358,0.4823351338395898,-0.826758434809246,-0.2377641983598811,0.33887752729333886
deepseek/deepseek-v4-pro,FIVE,2,0,2,0.14071926244712746,0.2062391435689053,-0.1114491213743436,-0.0855167221189109,0.2166862212804898
deepseek/deepseek-v4-pro,MSNG,2,0,2,0.12040846150240564,0.22013836523173022,-0.06429344237153425,-0.0467250442375802,0.24903474650631968
deepseek/deepseek-v4-pro,SU26244RMFS2,1,0,1,0.5425196845494054,0.5425196845494054,-0.2377641983598811,-0.2377641983598811,0.2706897177455376
deepseek/deepseek-v4-pro,TRNFP,1,0,1,0.4318888972128887,0.4318888972128887,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
deepseek/deepseek-v4-pro,UPRO,1,0,1,0.3751363258515377,0.3751363258515377,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
deepseek/deepseek-v4-pro,SNGSP,1,0,1,0.3488709511762696,0.3488709511762696,-1.415752671258611,-1.415752671258611,0.4070653368411402
deepseek/deepseek-v4-pro,SBRB,1,0,1,0.2697336534523949,0.2697336534523949,-0.0855167221189109,-0.0855167221189109,0.117624187472852
deepseek/deepseek-v4-pro,ASTR,1,0,1,0.18115279836218948,0.18115279836218948,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
deepseek/deepseek-v4-pro,AKMB,1,0,1,0.17095494303668046,0.17095494303668046,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
deepseek/deepseek-v4-pro,TGKN,1,0,1,0.15417417836363104,0.15417417836363104,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
deepseek/deepseek-v4-pro,JPYRUB_TOM,1,0,1,0.15022504206932946,0.15022504206932946,-0.0855167221189109,-0.0855167221189109,0.117624187472852
deepseek/deepseek-v4-pro,DELI,1,0,1,0.12891826169701262,0.12891826169701262,-0.0467250442375802,-0.0467250442375802,0.1514273974595068
deepseek/deepseek-v4-pro,TBRU,1,0,1,0.112993221801597,0.112993221801597,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
deepseek/deepseek-v4-pro,SOFL,1,0,1,0.0990157537710277,0.0990157537710277,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
deepseek/deepseek-v4-pro,CBOM,1,0,1,0.09623320796696241,0.09623320796696241,-1.0246331156842363,-1.0246331156842363,0.4017021019447021
deepseek/deepseek-v4-pro,FXUS,1,0,1,0.08065352887331294,0.08065352887331294,-0.2377641983598811,-0.2377641983598811,0.2706897177455376
deepseek/deepseek-v4-pro,LSRG,1,0,1,0.051134368657142375,0.051134368657142375,-1.0246331156842363,-1.0246331156842363,0.4017021019447021
deepseek/deepseek-v4-pro,TITR,1,0,1,0.04131448590892062,0.04131448590892062,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
deepseek/deepseek-v4-pro,SBHI,1,0,1,0.03912813344390239,0.03912813344390239,-0.0542881773813929,-0.0542881773813929,0.2256007068037887
deepseek/deepseek-v4-pro,RUAL,1,0,1,0.02033574317180247,0.02033574317180247,-1.415752671258611,-1.415752671258611,0.4070653368411402
deepseek/deepseek-v4-pro,AFLT,1,0,1,0.016382177739785498,0.016382177739785498,-0.0855167221189109,-0.0855167221189109,0.117624187472852
deepseek/deepseek-v4-pro,FXMM,1,0,1,0.009745196212164544,0.009745196212164544,-0.0542881773813929,-0.0542881773813929,0.2256007068037887
deepseek/deepseek-v4-pro,CHFRUB_TOM,1,0,1,0.004469799384027062,0.004469799384027062,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
deepseek/deepseek-v4-pro,HYDR,1,0,1,0.0014286568634880763,0.0014286568634880763,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
google/gemini-3.1-pro-preview,LQDT,132,131,1,0.24204627789725994,0.5,0.18634621210436933,0.2554665418833425,0.13922727978290306
google/gemini-3.1-pro-preview,AKMB,130,129,1,0.20800734571566679,0.4,0.18757226378545672,0.2554665418833425,0.13848126014620313
google/gemini-3.1-pro-preview,SBER,116,114,2,0.14872051353916718,0.2815984007508752,0.18655515186173036,0.2554665418833425,0.15915447508755298
